timestep,value
0.0,1.0
1.0,0.9980268260718711
2.0,0.9921154809122963
3.0,0.982289873182999
4.0,0.9685893485848075
5.0,0.9510685292947214
6.0,0.9297970932147223
7.0,0.9048594939357878
8.0,0.8763546225538112
9.0,0.8443954127026996
10.0,0.8091083903929601
11.0,0.7706331704606794
12.0,0.7291219016411243
13.0,0.6847386624824201
14.0,0.6376588105071069
15.0,0.588068287212089
16.0,0.5361628816698562
17.0,0.4821474556552133
18.0,0.4262351333714618
19.0,0.36864645898746284
20.0,0.30960852532175837
21.0,0.2493540771214143
22.0,0.18812059248110072
23.0,0.12614934603172204
24.0,0.06368445759736888
25.0,0.0009719300741824499
26.0,-0.061741319675235946
27.0,-0.12420843309321171
28.0,-0.1861835815355027
29.0,-0.2474229333933196
30.0,-0.30768561292538726
31.0,-0.36673464703162745
32.0,-0.42433789624993035
33.0,-0.48026896632193017
34.0,-0.5343080967525107
35.0,-0.586243022880542
36.0,-0.6358698080847941
37.0,-0.6829936428685782
38.0,-0.7274296076990241
39.0,-0.7690033966214038
40.0,-0.8075519988250695
41.0,-0.8429243355046694
42.0,-0.8749818495377462
43.0,-0.9035990456868657
44.0,-0.9286639792303351
45.0,-0.9500786911295721
46.0,-0.9677595880524746
47.0,-0.9816377657898635
48.0,-0.9916592748253951
49.0,-0.9977853270473582
50.0,-0.999992442822586
51.0,-0.9982725378874368
52.0,-0.9926329497474662
53.0,-0.9830964035151354
54.0,-0.9697009173527082
55.0,-0.9524996479244723
56.0,-0.9315606764976404
57.0,-0.9069667365638197
58.0,-0.8788148840818762
59.0,-0.8472161116674689
60.0,-0.8122949082736182
61.0,-0.7741887661195197
62.0,-0.7330476368306342
63.0,-0.6890333389510349
64.0,-0.6423189191783173
65.0,-0.5930879698513729
66.0,-0.541533905391202
67.0,-0.48785920055419824
68.0,-0.4322745935051612
69.0,-0.37499825685329713
70.0,-0.3162549399180072
71.0,-0.25627508560191703
72.0,-0.1952939253459487
73.0,-0.13355055572486121
74.0,-0.07128700031135764
75.0,-0.008747260492191326
76.0,0.05382364103934791
77.0,0.11618062036394575
78.0,0.1780794922275331
79.0,0.23927792598430273
80.0,0.2995363938502785
81.0,0.35861910775881645
82.0,0.4162949411564254
83.0,0.4723383321386026
84.0,0.5265301644007471
85.0,0.5786586225683381
86.0,0.6285200185730239
87.0,0.6759195858567562
88.0,0.7206722383140305
89.0,0.762603291022278
90.0,0.8015491399618164
91.0,0.8373578980890268
92.0,0.8698899852988012
93.0,0.8990186699942617
94.0,0.9246305601724468
95.0,0.9466260421334127
96.0,0.964919665126195
97.0,0.9794404704575247
98.0,0.990132263807213
99.0,0.9969538297169374
100.0,0.9998790874458007
101.0,0.9988971876156926
102.0,0.9940125493012062
103.0,0.9852448374517702
104.0,0.9726288807668251
105.0,0.956214530377394
106.0,0.9360664599183769
107.0,0.9122639078044038
108.0,0.8849003627472581
109.0,0.8540831937738351
110.0,0.8199332262194664
111.0,0.7825842653813885
112.0,0.7421825697203713
113.0,0.6988862756941878
114.0,0.6528647764940606
115.0,0.6042980571336097
116.0,0.5533759885085627
117.0,0.5002975832038783
118.0,0.4452702159723642
119.0,0.3885088119447649
120.0,0.3302350057552189
121.0,0.27067627487731805
122.0,0.21006505056445102
123.0,0.14863780987325348
124.0,0.08663415232046777
125.0,0.024295864781155134
126.0,-0.03813402172033597
127.0,-0.10041217964595325
128.0,-0.16229593331057462
129.0,-0.2235442042836638
130.0,-0.28391845014393724
131.0,-0.34318359293324285
132.0,-0.4011089336984033
133.0,-0.4574690495662595
134.0,-0.5120446698675145
135.0,-0.564623527908796
136.0,-0.6150011850894466
