timestep,value
0.0,1.0
1.0,0.8090354413289951
2.0,0.3091363857129139
3.0,-0.30874834606128376
4.0,-0.8087217347479995
5.0,-0.9999996921914202
6.0,-0.8096805825504094
7.0,-0.3104792021158515
8.0,0.3071060719209329
9.0,0.807520146296969
10.0,0.9999950750665115
11.0,0.8112432851690613
12.0,0.31331199979790514
13.0,-0.30396828444639323
14.0,-0.8053860298279547
15.0,-0.9999750676073543
16.0,-0.8137133540543617
17.0,-0.31763036533584843
18.0,0.29933028934994854
19.0,0.8023057186016848
20.0,0.9999212020343798
21.0,0.817074530130801
22.0,0.3234274348963365
23.0,-0.2931853055032406
24.0,-0.7982597102285095
25.0,-0.9998076257959863
26.0,-0.8213044003798962
27.0,-0.33069373531247204
28.0,0.285524636900885
29.0,0.7932227825127302
30.0,0.9996011065821411
31.0,0.826374276568366
32.0,0.33941697128117637
33.0,-0.2763379009997037
34.0,-0.7871641471577973
35.0,-0.9992610425893763
36.0,-0.8322490446576375
37.0,-0.3495817595424316
38.0,0.26561331413108574
39.0,0.7800476434685686
40.0,0.9987394808991966
41.0,0.8388869874112233
42.0,0.36116931118289275
43.0,-0.2533380347865801
44.0,-0.7718319746361043
45.0,-0.9979811474639195
46.0,-0.846239583300468
47.0,-0.37415706352859945
48.0,0.2394985656344452
49.0,0.7624709896083731
50.0,0.9969234928213467
51.0,0.8542512854186786
52.0,0.3885182634622217
53.0,-0.2240812151288439
54.0,-0.7519140139295283
55.0,-0.9954967582795637
56.0,-0.8628592847521986
57.0,-0.4042215044267235
58.0,0.2070726195141872
59.0,0.7401062332630997
60.0,0.9936240679217628
61.0,0.8719932628253417
62.0,0.4212302198665358
63.0,-0.18846032589507594
64.0,-0.7269891335914161
65.0,-0.9912215523732096
66.0,-0.8815751394359163
67.0,-0.43950213641525254
68.0,0.16823343682812755
69.0,0.7125010022956869
70.0,0.9881985108421595
71.0,0.8915188219279728
72.0,0.45898869077097704
73.0,-0.1463833165859692
74.0,-0.6965774944572611
75.0,-0.9844576184858337
76.0,-0.9017299632067496
77.0,-0.4796344149113201
78.0,0.1229043588359338
79.0,0.6791522687697227
80.0,0.979895186652303
81.0,0.9121057364837162
82.0,0.5013762950927818
83.0,-0.09779481495753378
84.0,-0.6601576974012398
85.0,-0.9744014839984475
86.0,-0.9225346355415432
87.0,-0.5241431109561465
88.0,0.0710576815846424
89.0,0.6395256539836548
90.0,0.9678611268702781
91.0,0.9328963101221827
92.0,0.5478547620200784
93.0,-0.04270164519158575
94.0,-0.6171883836157946
95.0,-0.9601535476404709
96.0,-0.9430614468561115
97.0,-0.572421589889243
98.0,0.012742080639461036
99.0,0.5930794583381879
100.0,0.9511535499127337
101.0,0.9528917069547801
102.0,0.5977437056253279
103.0,0.018797900445324096
104.0,-0.5671348209511715
105.0,-0.9407319596052431
106.0,-0.9622397326665648
107.0,-0.6237103329247277
108.0,-0.05188635678168995
109.0,0.5392939192916465
110.0,0.9287563808962539
111.0,0.9709492352313693
112.0,0.6501991790054666
113.0,0.08648138669807201
114.0,-0.5095009321421876
115.0,-0.9150920658322385
116.0,-0.978855177739167
117.0,-0.6770758464156289
118.0,-0.12252996770970528
119.0,0.4777060868041984
120.0,0.8996029060393365
121.0,0.985784066880244
122.0,0.7041933003215305
123.0,0.15996677621407376
124.0,-0.443867067011087
125.0,-0.8821525544185352
126.0,-0.9915543680422491
127.0,-0.7313914071949841
128.0,-0.198712998899825
129.0,0.4079505082769728
130.0,0.8626056839175773
131.0,0.9959770585312241
132.0,0.758496562172134
133.0,0.2386751493911065
134.0,-0.3699335759588952
135.0,-0.8408293894329713
136.0,-0.9988563338381331
137.0,-0.7853214236737791
138.0,-0.279743905699212
139.0,0.32980561925076773
140.0,0.8166947375766541
141.0,0.9999904818020922
142.0,0.8116647751237724
143.0,0.32179298620839464
144.0,-0.2875698920199892
145.0,-0.7900784674190097
