timestep,value
0.0,1.0
1.0,0.8090538874861531
2.0,0.30925577217895267
3.0,-0.30847967311444574
4.0,-0.8084262711963698
5.0,-0.9999987687658699
6.0,-0.8103431371332471
7.0,-0.31194067558755884
8.0,0.30519391044517763
9.0,0.8060180796204104
10.0,0.9999803003145562
11.0,0.8134578768738847
12.0,0.3176006059278622
13.0,-0.2989110232327538
14.0,-0.8017245901495367
15.0,-0.9999002716726656
16.0,-0.818357187077005
17.0,-0.32621760593367943
18.0,0.28961263382522046
19.0,0.7954914563120983
20.0,0.9996848205557581
21.0,0.8249755484809512
22.0,0.33776324945432984
23.0,-0.277272804922816
24.0,-0.787241565732668
25.0,-0.9992305771996138
26.0,-0.8332221382867301
27.0,-0.35219737795054046
28.0,0.26185942340099333
29.0,0.7768759938092396
30.0,0.9984047445604821
31.0,0.8429798988903994
32.0,0.36946641688290416
33.0,-0.24333604394343616
34.0,-0.7642752896790944
35.0,-0.9970452624736149
36.0,-0.854104411290264
37.0,-0.38950128725251915
38.0,0.2216642018834462
39.0,0.749301127329972
40.0,0.9949611014135937
41.0,0.8664226148632034
42.0,0.4122149333774556
43.0,-0.19680620475286945
44.0,-0.7317983607472219
45.0,-0.9919327413868034
46.0,-0.8797314254987366
47.0,-0.4374994950763974
48.0,0.1687284106839872
49.0,0.7115975269207521
50.0,0.9877129010782267
51.0,0.8937963150587855
52.0,0.46522316099310257
53.0,-0.13740499869625414
54.0,-0.6885178440746144
55.0,-0.9820275914902427
56.0,-0.9083499267918357
57.0,-0.4952267500134723
58.0,0.1028222307208734
59.0,0.6623707542948643
60.0,0.9745775767067844
61.0,0.9230908136043632
62.0,0.5273200797375883
63.0,-0.06498319766582351
64.0,-0.6329640594457853
65.0,-0.965040331778309
66.0,-0.9376823988355902
67.0,-0.5612781948557706
68.0,0.023913031613190916
69.0,0.6001066964718808
70.0,0.953072593661326
71.0,0.951752272160086
72.0,0.5968375440519852
73.0,0.020335446900473002
74.0,-0.5636141924406818
75.0,-0.9383136051896005
76.0,-0.9648919461204654
77.0,-0.633692211646216
78.0,-0.06767569386736311
79.0,0.5233148305226991
80.0,0.920389153648707
81.0,0.9766572111191558
82.0,0.6714903294072787
83.0,0.11798108602363389
84.0,-0.47905654505394335
85.0,-0.8989165040367622
86.0,-0.9865692378983785
87.0,-0.709830814511309
88.0,-0.17107833429454994
89.0,0.43071454641308243
90.0,0.8735103218132171
91.0,0.9941165859008183
92.0,0.7482606010301955
93.0,0.22674078287708596
94.0,-0.3781996542352546
95.0,-0.843789670093175
96.0,-0.9987582825805312
97.0,-0.7862725539798346
98.0,-0.2846817399844249
99.0,0.32146729010331804
100.0,0.8093861510231961
101.0,0.9999281417348317
102.0,0.8233042760177088
103.0,0.3445480187514752
104.0,-0.2605270480362097
105.0,-0.7699532396454318
106.0,-0.997040487129474
107.0,-0.8587380363223847
108.0,-0.4059139015631062
109.0,0.19545272270655548
110.0,0.7251768301110121
111.0,0.9894974398488373
112.0,0.8919020677558076
113.0,0.46827577729779807
114.0,-0.12639263144041898
115.0,-0.6747869778982218
116.0,-0.9766979125829682
117.0,-0.9220734906179658
118.0,-0.531047737559071
119.0,0.05358001700814967
120.0,0.6185707771088407
121.0,0.9580484300711786
122.0,0.9484831274357802
123.0,0.5935584534554562
124.0,0.0226567353461189
125.0,-0.556386258534293
126.0,-0.9329758607604098
127.0,-0.9703224713607225
128.0,-0.6550496870856777
129.0,-0.1018843902421994
130.0,0.48817713185383144
131.0,0.9009420990740774
132.0,0.9867530587750664
133.0,0.7146768194171295
134.0,0.18355604654337865
135.0,-0.4139881242684527
136.0,-0.8614606793443749
