timestep,value
0.0,1.0
1.0,0.8090262179515814
2.0,0.30907669065280385
3.0,-0.3088826732986021
4.0,-0.8088693900567131
5.0,-0.999999923047852
6.0,-0.8093489176088435
7.0,-0.309748189812961
8.0,0.30806168850762716
9.0,0.8082692232661581
10.0,0.9999987687658699
11.0,0.8101316001555049
12.0,0.31116529151834066
13.0,-0.3064937172039381
14.0,-0.8072053301070085
15.0,-0.9999937668824127
16.0,-0.8113717211785896
17.0,-0.31332690191344625
18.0,0.3041775733509564
19.0,0.8056742839565421
20.0,0.9999803003145562
21.0,0.8130652311598678
22.0,0.31623133546378196
23.0,-0.30111152467291163
24.0,-0.8036711815652751
25.0,-0.9999519052924462
26.0,-0.8152065641014332
27.0,-0.31987629503089815
28.0,0.2972933140840704
29.0,0.8011896573248274
30.0,0.9999002716726657
31.0,0.8177886220663888
32.0,0.3242588451327982
33.0,-0.2927201880891616
34.0,-0.798221902033231
35.0,-0.9998152435798767
36.0,-0.8208027557553522
37.0,-0.32937537844054604
38.0,0.28738893220193146
39.0,0.7947586862936524
40.0,0.9996848205557581
41.0,0.8242387412730666
42.0,0.3352215755769383
43.0,-0.28129591343825644
44.0,-0.7907893887127521
45.0,-0.9994951594339815
46.0,-0.8280847532739429
47.0,-0.34179235829936283
48.0,0.274437129948208
49.0,0.7863020290940851
50.0,0.9992305771996137
51.0,0.8323273347105256
52.0,0.34908183616676164
53.0,-0.26680826785761785
54.0,-0.7812833068501693
55.0,-0.9988735551308694
56.0,-0.8369513634452356
57.0,-0.35708324681012643
58.0,0.2584047653944761
59.0,0.7757186448835723
60.0,0.998404744560482
61.0,0.8419400160231477
62.0,0.36578888994778064
63.0,-0.24922188437713033
64.0,-0.7695922392126262
65.0,-0.997802974633071
66.0,-0.8472747289421559
67.0,-0.37519005531036537
68.0,0.23925478914132467
69.0,0.762887114640834
70.0,0.9970452624736149
71.0,0.8529351577966795
72.0,0.3852769446671008
73.0,-0.22849863297978684
74.0,-0.7555851867904351
75.0,-0.9961068262204198
76.0,-0.8588991347126024
77.0,-0.3960385881738634
78.0,0.21694865216173412
79.0,0.7476673308396131
80.0,0.9949611014135936
81.0,0.8651426245332794
82.0,0.4074627552957559
83.0,-0.20460026759017494
84.0,-0.7391134573193495
85.0,-0.993579761266917
86.0,-0.8716396802609471
87.0,-0.419535860591973
88.0,0.191449194141336
89.0,0.7299025953394124
90.0,0.9919327413868029
91.0,0.8783623983028392
92.0,0.4322428646890996
93.0,-0.17749155771323546
94.0,-0.7200129836233112
